,"BTC / Addresses, active, count","BTC / NVT, adjusted, 90d MA","BTC / NVT, adjusted, free float,  90d MA","BTC / NVT, adjusted","BTC / NVT, adjusted, free float","BTC / Flow, in, to exchanges, USD","BTC / Flow, out, from exchanges, USD","BTC / Fees, transaction, mean, USD","BTC / Fees, transaction, median, USD","BTC / Fees, total, USD","BTC / Miner revenue, USD","BTC / Capitalization, market, free float, USD","BTC / Capitalization, realized, USD","BTC / Capitalization, market, current supply, USD","BTC / Capitalization, market, estimated supply, USD","BTC / Volatility, daily returns, 30d","BTC / Volatility, daily returns, 180d","BTC / Difficulty, last","BTC / Difficulty, mean","BTC / Hash rate, mean","BTC / Hash rate, mean, 30d","BTC / Revenue, per hash unit, USD","BTC / Supply, Miner, held by all mining entities, USD","BTC / Block, size, mean, bytes","BTC / Block, weight, mean","BTC / Issuance, continuous, percent, daily",BTC / Network distribution factor,"BTC / Transactions, count","BTC / Transactions, transfers, count","BTC / Transactions, transfers, value, mean, USD"
2009-04-14,124,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.164073434e-06,5.6073184142e-06,,,215.943548387097,863.7741935483871,1.12932604735883,0.053284845173,0,0,
2009-04-15,113,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.6172604681e-06,5.5940623423e-06,,,215.752212389381,863.0088495575221,1.01866041647886,0.052742053547,0,0,
2009-04-16,123,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.1143631644e-06,5.6089754232e-06,,,215.886178861789,863.5447154471544,1.09664764621969,0.052163659058,0,0,
2009-04-17,112,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.5675501985e-06,5.6056614052e-06,,,215.866071428571,863.4642857142857,0.988700564971752,0.051647916667,0,0,
2009-04-18,131,,,3470.48842565,3470.48842565,,,,,,,,0.0,,,,,1.0,1.0,6.2634939733e-06,5.6122894411e-06,,,222.039682539683,888.1587301587301,1.10005238344683,0.051223834468,4,4,
2009-04-19,128,,,1446.625,1446.625,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,5.6139464501e-06,,,224.0,896.0,1.02825542210317,0.051388386762,1,1,
2009-04-20,236,,,101.66956522,101.66956522,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,5.7282800703e-06,,,327.033613445378,1308.1344537815123,1.01778994184057,0.060701146083,2,2,
2009-04-21,125,,,59075000.0,59075000.0,,,,,,,,0.0,,,,,1.0,1.0,6.1143631644e-06,5.7349081062e-06,,,217.739837398374,870.959349593496,1.04104951333051,0.060069217097,1,1,
2009-04-22,121,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.0149426251e-06,5.7199950253e-06,,,215.96694214876,863.8677685950413,1.0137399463807,0.059460271448,0,0,
2009-04-23,75,,,,,,,,,,,,0.0,,,,,1.0,1.0,3.7282702222e-06,5.6702847557e-06,,,215.653333333333,862.6133333333333,0.624427608025976,0.059088985097,0,0,
2009-04-24,115,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.7166810074e-06,5.6669707377e-06,,,215.913043478261,863.6521739130435,0.948375391720271,0.058528599703,0,0,
2009-04-25,118,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8658118162e-06,5.6686277467e-06,,,215.872881355932,863.4915254237288,0.963737340738321,0.057864897092,0,0,
2009-04-26,128,,,823.73333333,823.73333333,,,,,,,,0.0,,,,,1.0,1.0,5.5675501985e-06,5.6785698006e-06,,,232.053571428571,928.2142857142856,0.906442214308838,0.058554370346,2,2,
2009-04-27,104,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.1698680414e-06,5.6537146658e-06,,,215.875,863.5,0.834670947030498,0.058065634029,0,0,
2009-04-28,117,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,5.6553716748e-06,,,215.649572649573,862.5982905982906,0.930269539635843,0.057525467123,0,0,
